C C
CP P[CH3:1]
CS C[SH:1]
CS S[CH3:1]
C[NH3+] C[NH3+:1]
C[NH3+] [NH3+][CH3:1]
C[SH2+] C[SH2+:1]
C[SH2+] [SH2+][CH3:1]
FS F[SH:1]
N N
N=S N=[S:1]
N=[NH2+] N=[NH2+:1]
N=[NH2+] [NH2+]=[NH:1]
N=[SH+] N=[SH+:1]
NN N[NH2:1]
NO N[OH:1]
NO O[NH2:1]
NS N[SH:1]
NS S[NH2:1]
N[NH3+] [NH3+][NH2:1]
N[SH2+] N[SH2+:1]
O O
O=P O=[PH:1]
O=S O=[S:1]
O=S S=[O:1]
OP O[PH2:1]
OP P[OH:1]
OS O[SH:1]
OS S[OH:1]
P P
S S
SS S[SH:1]
[C-]#[NH+] [NH+]#[C-:1]
[CH-]1CON=[NH+]1 [CH-]1CON=[NH+:1]1
[N-]=[NH2+] [N-]=[NH2+:1]
[N-]=[NH2+] [NH2+]=[N-:1]
[NH2+]=O O=[NH2+:1]
[NH2+]=O [NH2+]=[O:1]
[NH3+]O O[NH3+:1]
[NH3+]O [NH3+][OH:1]
[NH3+][O-] [O-][NH3+:1]
[NH4+] [NH4+]
[O-][SH2+] [O-][SH2+:1]
[SH3+] [SH3+]
